customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000-CUST,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,79.86,2538.51,No
0001-CUST,Male,1,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.55,890.11,No
0002-CUST,Female,1,No,No,35,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,81.87,2858.51,Yes
0003-CUST,Female,0,Yes,No,29,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,65.12,1865.4,No
0004-CUST,Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),101.79,1037.67,No
0005-CUST,Female,0,No,No,21,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),74.92,1523.84,No
0006-CUST,Female,0,No,No,0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,52.66, ,Yes
0007-CUST,Female,1,No,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.66,1060.88,No
0008-CUST,Male,0,Yes,No,57,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),82.97,4723.41,No
0009-CUST,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),81.37,2221.44,No
0010-CUST,Male,0,No,No,18,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),55.23,1016.85,Yes
0011-CUST,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,83.46,2272.39,No
0012-CUST,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),72.17,823.96,Yes
0013-CUST,Female,1,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,480.95,No
0014-CUST,Male,0,Yes,No,40,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,58.34,2331.03,Yes
0015-CUST,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,81.08,3325.0,Yes
0016-CUST,Female,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,722.11,No
0017-CUST,Male,0,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,88.03,956.99,No
0018-CUST,Female,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,88.3,901.08,Yes
0019-CUST,Female,0,Yes,No,18,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,67.12,1209.73,No
0020-CUST,Female,0,No,Yes,25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),78.38,1979.59,No
0021-CUST,Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,87.35,1939.86,Yes
